Sentence,Reverse,Use
Successes of some people are usually failures of others.,0,1
"If someone gets richer, it means that somebody else gets poorer.",0,1
"Life is so devised that when somebody gains, others have to lose.",0,1
"In most situations, interests of different people are inconsistent.",0,1
Life is like tennis game - a person wins only when others lose.,0,1
"When some people are getting poorer, it means that other people are getting richer.",0,1
"When someone does much for others, they lose.",0,1
The wealth of a few is acquired at the expense of many.,0,1
"When a person does much for the good of others, they profit as well.",1,1
Those who give much to others receive much from them.,1,1
People who do much for their own good frequently benefit others as well.,1,1
"When the number of rich people increases in the country, the poorer people benefit as well.",1,1
