Sentence,Reverse,Use
"The established authorities generally turn out to be right about things, while the radicals and protestors are usually just ""loud mouths"" showing off their ignorance.",0,0
Women should have to promise to obey their husbands when they get married.,0,0
Our country desperately needs a mighty leader who will do what has to be done to destroy the radical new ways and sinfulness that are ruining us.,0,1
LGBTQIA+ people are just as healthy and moral as anybody else.,1,1
It is always better to trust the judgment of the proper authorities in government and religion than to listen to the noisy rabble-rousers in our society who are trying to create doubt in people's minds.,0,1
Atheists and others who have rebelled against the established religions are no doubt every bit as good and virtuous as those who attend their church/temple regularly.,1,1
"The only way our country can get through the crisis ahead is to get back to our traditional values, put some tough leaders in power, and silence the troublemakers spreading bad ideas.",0,1
There is absolutely nothing wrong with nudist camps.,1,1
"Our country needs free thinkers who will have the courage to defy traditional ways, even if this upsets many people.",1,1
Our country will be destroyed someday if we do not smash the perversions eating away at our moral fiber and traditional beliefs.,0,1
"Everyone should have their own lifestyle, religious beliefs, and sexual preferences, even if it makes them different from everyone else.",1,1
"The ""old-fashioned ways"" and ""old-fashioned values"" still show the best way to live.",0,1
"You have to admire those who challenge the law and the majority's view by protesting for women's abortion rights, for rights for LGBTQIA+ folks, for animal rights, or to abolish school prayer.",1,1
"What our country really needs is a strong, determined leader who will crush evil, and take us back to our true path.",0,1
"Some of the best people in our country are those who are challenging our government, criticizing religion, and ignoring the ""normal ways things are supposed to be done.""",1,1
"God's laws about abortion, pornography, and marriage must be strictly followed before it is too late, and those who break them must be strongly punished.",0,1
It would be best for everyone if the proper authorities censored magazines so that people would not get their hands on trashy and disgusting material.,0,1
There is nothing wrong with premarital sexual intercourse.,1,1
"Our country will be great if we honor the ways of our forefathers, do what the authorities tell us to do, and get rid of the rotten apples who are ruining everything.",0,1
"There is no ""ONE right way"" to live life; everybody has to create their own way.",1,1
LGBTQIA+ people and feminists should be praised for being brave enough to defy traditional family values.,1,1
This country would work a lot better if certain groups of troublemakers would just shut up and accept their group's traditional place in society.,0,1
"There are many radical, immoral people in our country today who are trying to ruin it for their own godless purposes, whom the authorities should put out of action.",0,1
"People should pay less attention to the Bible and the other old forms of religious guidance, and instead develop their own personal standards of what is moral and immoral.",1,1
"What our country needs most is discipline, with everyone following our leaders in unity.",0,1
It's better to have trashy magazines and radical pamphlets in our communities than to let the government have the power to censor them.,1,1
"The facts on crime, sexual immorality, and the recent public disorders all show we have to crack down harder on deviant groups and troublemakers if we are going to save our moral standards and preserve law and order.",0,1
A lot of our rules regarding modesty and sexual behavior are just customs which are not necessarily any better or holier than those which other people follow.,1,1
"The situation in our country is getting so serious, the strongest methods would be justified if they eliminated the troublemakers and got us back to our true path.",0,1
"A ""woman's place"" should be wherever she wants to be. The days when women were submissive to their husbands and social conventions belong strictly in the past.",1,1
"It is wonderful that young people today have greater freedom to protest against things they don't like, and to make their own ""rules"" to govern their behavior.",1,1
"Once our government leaders give us the ""go ahead,"" it will be the duty of every patriotic citizen to help stomp out the rot that is poisoning our country from within.",0,1
