Sentence,Reverse,Use,Subscale
Some groups of people must be kept in their place.,0,1,Dominance
It's probably a good thing that certain groups are at the top and other groups are at the bottom.,0,1,Dominance
An ideal society requires some groups to be on top and others to be on the bottom.,0,1,Dominance
Some groups of people are simply inferior to other groups.,0,1,Dominance
Groups at the bottom are just as deserving as groups at the top.,1,1,Dominance
No one group should dominate in society.,1,1,Dominance
Groups at the bottom should not have to stay in their place.,1,1,Dominance
Group dominance is a poor principle.,1,1,Dominance
We should not push for group equality.,0,1,Egalitarianism
We shouldn't try to guarantee that every group has the same quality of life.,0,1,Egalitarianism
It is unjust to try to make groups equal.,0,1,Egalitarianism
Group equality should not be our primary goal.,0,1,Egalitarianism
We should work to give all groups an equal chance to succeed.,1,1,Egalitarianism
We should do what we can to equalize conditions for different groups.,1,1,Egalitarianism
"No matter how much effort it takes, we ought to strive to ensure that all groups have the same chance in life.",1,1,Egalitarianism
Group equality should be our ideal.,1,1,Egalitarianism
