Sentence,Reverse,Use
Our country desperately needs a mighty and liberal leader who will do what has to be done to destroy the radical traditional ways of doing things that are ruining us.,0,1
Christian fundamentalists are just as healthy and moral as anybody else.,1,1
It's always better to trust the judgment of the proper authorities in science with respect to issues like global warming and evolution than to listen to the noisy rabble-rousers in our society who are trying to create doubts in people's minds.,0,1
Christian Fundamentalists and others who have rebelled against the established sciences are no doubt every bit as good and virtuous as those who agree with the best scientific minds.,1,1
"The only way our country can get through the crisis ahead is to get rid of our ""traditional"" values, put some tough leaders in power who oppose those values, and silence the troublemakers spreading bad (and so-called ""traditional"") ideas.",0,1
There is absolutely nothing wrong with Christian Fundamentalist camps designed to create a new generation of Fundamentalists.,1,1
"Our country needs traditional thinkers who will have the courage to defy modern progressive movements, even if this upsets many people.",1,1
Our country will be destroyed someday if we do not smash the traditional beliefs eating away at our national fiber and growing progressive beliefs.,0,1
"With respect to environmental issues, everyone should have their own personality, even if it makes them different from everyone else.",1,1
Progressive ways and liberal values show the best way of life.,0,1
You have to admire those who challenged the law and the majority's view by protesting against abortion rights or in favor of reinstating school prayer.,1,1
"What our country really needs is a strong, determined leader who will crush the evil of pushy Christian religious people, and take us forward to our true path.",0,1
"Some of the best people in our country are those who are challenging our government, supporting religion, and ignoring the ""normal way"" things are supposed to be done.",1,1
"We should strongly punish those who try to uphold what they claim are ""God's laws"" about abortion, pornography, and marriage, when they break the actual laws of the country in order to do so.",0,1
"There are many radical, immoral Christian people in our country today, who are trying to ruin it for their religious purposes, whom the authorities should put out of action.",0,1
A Christian's place should be wherever he or she wants to be. The days when Christians were submissive to the conventions of this country belong strictly in the past.,1,1
"Our country will be great if we honor the ways of progressive thinking, do what the best liberal authorities tell us to do, and get rid of the religious and conservative ""rotten apples"" who are ruining everything.",0,1
"With respect to environmental issues, there is no ""ONE right way"" to live life; everybody has to create their own way.",1,1
Christian Fundamentalists should be praised for being brave enough to defy the current societal and legal norms.,1,1
This country would work a lot better if certain groups of Christian trouble-makers would just shut up and accept their group's proper place in society.,0,1
